/usr/idip/idip/liuan/data/8class_data/img_aug_double_8class_traindata/0000314.jpg,242,162,358,204,car2
/usr/idip/idip/liuan/data/8class_data/img_aug_double_8class_traindata/00005137.jpg,281,70,306,92,boat1
/usr/idip/idip/liuan/data/8class_data/img_aug_double_8class_traindata/0003113.jpg,419,79,446,108,boat1
/usr/idip/idip/liuan/data/8class_data/img_aug_double_8class_traindata/00005100.jpg,267,46,290,71,boat1
/usr/idip/idip/liuan/data/8class_data/img_aug_double_8class_traindata/00003908.jpg,261,219,327,243,quadrocopter
/usr/idip/idip/liuan/data/8class_data/img_aug_double_8class_traindata/00004238.jpg,1016,126,1058,204,soccer
/usr/idip/idip/liuan/data/8class_data/img_aug_double_8class_traindata/0002852.jpg,381,59,416,80,boat1
/usr/idip/idip/liuan/data/8class_data/img_aug_double_8class_traindata/0001040.jpg,327,239,358,328,saturated
/usr/idip/idip/liuan/data/8class_data/img_aug_double_8class_traindata/0002750.jpg,274,41,297,68,boat1
/usr/idip/idip/liuan/data/8class_data/img_aug_double_8class_traindata/00004271.jpg,1026,127,1051,211,soccer
/usr/idip/idip/liuan/data/8class_data/img_aug_double_8class_traindata/00004179.jpg,1038,107,1069,184,soccer
/usr/idip/idip/liuan/data/8class_data/img_aug_double_8class_traindata/0001218.jpg,163,298,195,397,saturated
/usr/idip/idip/liuan/data/8class_data/img_aug_double_8class_traindata/0001359.jpg,1023,130,1056,211,soccer
/usr/idip/idip/liuan/data/8class_data/img_aug_double_8class_traindata/00003339.jpg,131,158,254,200,car2
/usr/idip/idip/liuan/data/8class_data/img_aug_double_8class_traindata/0000846.jpg,228,328,314,355,quadrocopter
/usr/idip/idip/liuan/data/8class_data/img_aug_double_8class_traindata/0003018.jpg,416,25,438,54,boat1
/usr/idip/idip/liuan/data/8class_data/img_aug_double_8class_traindata/00004861.jpg,136,108,161,133,plane1
/usr/idip/idip/liuan/data/8class_data/img_aug_double_8class_traindata/0002518.jpg,150,116,177,139,plane1
/usr/idip/idip/liuan/data/8class_data/img_aug_double_8class_traindata/0000537.jpg,239,71,291,195,crowd
/usr/idip/idip/liuan/data/8class_data/img_aug_double_8class_traindata/00005147.jpg,284,52,313,73,boat1
